iterations,expected value,max steps,time
0,-21930.7,6507,0.0
1,-14160.3,3578,0.0
2,-12601.5,7914,0.0
3,-4677.4,1819,0.0
4,-7028.5,6161,0.0
5,-4344.4,10721,0.0
6,-3546.0,2160,0.0
7,-3227.6,1468,0.0
8,-3538.4,2952,0.0
9,-3911.8,1573,0.0
10,-3660.9,1507,0.0
11,-2739.1,2287,0.0
12,-4461.0,2057,0.0
13,-3076.6,4642,0.0
14,-2002.8,2552,0.0
15,-3155.0,2444,0.0
16,-2495.8,1035,0.0
17,-2162.5,1027,0.0
18,-2112.1,581,0.0
19,-2334.7,937,0.0
20,-3142.5,2280,0.0
21,-2227.9,1642,0.0
22,-2446.7,1012,0.0
23,-2278.8,2021,0.0
24,-2025.0,1092,0.0
25,-2983.0,541,0.0
26,-2466.2,2898,0.0
27,-2544.4,820,0.0
28,-2423.8,7493,0.0
29,-1793.3,1570,0.0
30,-2390.3,653,0.0
31,-2812.4,795,0.0
32,-1608.6,1112,0.0
33,-1819.4,961,0.0
34,-1377.4,636,0.0
35,-2588.4,1329,0.0
36,-2698.4,655,0.0
37,-1496.5,384,0.0
38,-1624.8,509,0.0
39,-2121.4,1062,0.0
40,-2225.7,4173,0.0
41,-1953.2,1476,0.0
42,-1407.3,1664,0.0
43,-2110.1,1117,0.0
44,-1802.9,937,0.0
45,-1830.0,1155,0.0
46,-1120.6,1060,0.0
47,-2131.2,2021,0.0
48,-1582.4,2909,0.0
49,-1280.6,954,0.0
50,-1914.5,1526,0.0
51,-1293.8,1553,0.0
52,-1205.8,881,0.0
53,-888.0,762,0.0
54,-1805.6,680,0.0
55,-3181.9,1658,0.0
56,-858.2,352,0.0
57,-1283.7,370,0.0
58,-1112.8,1592,0.0
59,-1698.3,695,0.0
60,-1216.9,1925,0.0
61,-1043.6,485,0.0
62,-2343.3,2062,0.0
63,-1575.3,249,0.0
64,-1008.5,509,0.0
65,-1150.0,1252,0.0
66,-842.9,2519,0.0
67,-1067.6,348,0.0
68,-2228.4,428,0.0
69,-1490.4,554,0.0
70,-1739.0,505,0.0
71,-3145.0,3218,0.0
72,-2028.7,1038,0.0
73,-2189.0,1695,0.0
74,-3438.9,549,0.0
75,-1152.4,1828,0.0
76,-1449.4,524,0.0
77,-1585.5,353,0.0
78,-1566.0,1250,0.0
79,-1220.5,938,0.0
80,-1718.9,391,0.0
81,-1099.7,538,0.0
82,-1384.2,349,0.0
83,-1469.1,497,0.0
84,-1274.0,555,0.0
85,-1028.9,408,0.0
86,-1896.1,1408,0.0
87,-897.4,658,0.0
88,-1116.2,286,0.0
89,-1375.9,608,0.0
90,-1391.9,1223,0.0
91,-770.5,430,0.0
92,-941.2,509,0.0
93,-1199.7,1098,0.0
94,-1836.6,2561,0.0
95,-1179.0,846,0.0
96,-1053.5,1345,0.0
97,-1755.0,1844,0.0
98,-962.1,1492,0.0
99,-1513.1,709,0.0
100,-1424.5,1346,0.0
101,-932.9,924,0.0
102,-1700.1,2014,0.0
103,-798.6,454,0.0
104,-798.4,796,0.0
105,-1130.8,2521,0.0
106,-807.1,1411,0.0
107,-852.5,1798,0.0
108,-1275.4,442,0.0
109,-1195.1,1195,0.0
110,-500.9,707,0.0
111,-834.6,1340,0.0
112,-1047.6,1172,0.0
113,-792.6,734,0.0
114,-941.8,856,0.0
115,-733.3,497,0.0
116,-922.4,1706,0.0
117,-577.6,243,0.0
118,-710.7,498,0.0
119,-734.6,760,0.0
120,-1095.0,765,0.0
121,-569.5,731,0.0
122,-541.4,586,0.0
123,-844.8,1671,0.0
124,-1170.0,767,0.0
125,-776.8,317,0.0
126,-962.7,837,0.0
127,-845.0,1076,0.0
128,-828.6,387,0.0
129,-771.5,269,0.0
130,-610.8,861,0.0
131,-1730.7,1965,0.0
132,-1143.3,562,0.0
133,-846.2,1077,0.0
134,-724.6,586,0.0
135,-608.1,297,0.0
136,-824.0,688,0.0
137,-656.8,800,0.0
138,-565.3,557,0.0
139,-663.6,453,0.0
140,-619.8,647,0.0
141,-667.2,632,0.0
142,-857.8,555,0.0
143,-1211.6,5048,0.0
144,-822.9,414,0.0
145,-694.1,821,0.0
146,-781.1,560,0.0
147,-643.8,346,0.0
148,-677.1,593,0.0
149,-885.3,1999,0.0
150,-976.1,417,0.0
151,-994.7,1540,0.0
152,-892.3,2701,0.0
153,-683.5,621,0.0
154,-729.6,803,0.0
155,-645.3,344,0.0
156,-745.0,760,0.0
157,-520.0,672,0.0
158,-722.7,521,0.0
159,-522.3,378,0.0
160,-749.1,268,0.0
161,-964.5,204,0.0
162,-456.0,479,0.0
163,-374.8,321,0.0
164,-553.2,868,0.0
165,-796.9,193,0.0
166,-569.1,313,0.0
167,-648.7,263,0.0
168,-422.0,587,0.0
169,-347.3,475,0.0
170,-465.7,665,0.0
171,-671.8,649,0.0
172,-493.7,420,0.0
173,-483.1,390,0.0
174,-691.5,951,0.0
175,-756.1,302,0.0
176,-398.1,246,0.0
177,-590.1,780,0.0
178,-663.0,347,0.0
179,-660.9,572,0.0
180,-449.5,324,0.0
181,-425.7,545,0.0
182,-626.2,338,0.0
183,-366.0,222,0.0
184,-517.7,256,0.0
185,-1072.2,690,0.0
186,-402.5,244,0.0
187,-799.5,231,0.0
188,-521.3,214,0.0
189,-637.3,418,0.0
190,-397.0,362,0.0
191,-935.3,613,0.0
192,-1181.7,268,0.0
193,-677.0,308,0.0
194,-847.0,366,0.0
195,-431.9,269,0.0
196,-528.6,223,0.0
197,-438.4,339,0.0
198,-445.3,489,0.0
199,-745.4,229,0.0
200,-714.8,749,0.0
201,-472.6,269,0.0
202,-595.8,941,0.0
203,-783.1,469,0.0
204,-569.4,712,0.0
205,-395.9,338,0.0
206,-391.7,656,0.0
207,-544.1,395,0.0
208,-342.0,220,0.0
209,-470.4,439,0.0
210,-1048.7,427,0.0
211,-385.5,189,0.0
212,-545.5,557,0.0
213,-405.1,227,0.0
214,-347.1,163,0.0
215,-324.2,182,0.0
216,-467.0,634,0.0
217,-496.0,456,0.0
218,-763.8,419,0.0
219,-400.8,309,0.0
220,-572.0,1334,0.0
221,-404.1,146,0.0
222,-452.1,207,0.0
223,-577.6,172,0.0
224,-678.8,257,0.0
225,-408.9,205,0.0
226,-517.7,236,0.0
227,-351.0,169,0.0
228,-384.7,233,0.0
229,-322.9,138,0.0
230,-615.3,204,0.0
231,-538.7,166,0.0
232,-453.1,168,0.0
233,-904.7,248,0.0
234,-397.4,322,0.0
235,-361.8,204,0.0
236,-570.5,153,0.0
237,-901.3,151,0.0
238,-521.2,148,0.0
239,-607.0,216,0.0
240,-470.1,197,0.0
241,-336.4,162,0.0
242,-358.3,156,0.0
243,-391.5,130,0.0
244,-476.8,200,0.0
245,-890.0,199,0.0
246,-529.9,190,0.0
247,-276.9,135,0.0
248,-260.6,192,0.0
249,-605.9,163,0.0
250,-385.4,177,0.0
251,-541.2,1047,0.0
252,-433.2,612,0.0
253,-371.1,471,0.0
254,-466.8,902,0.0
255,-288.2,351,0.0
256,-453.0,219,0.0
257,-453.6,209,0.0
258,-773.7,575,0.0
259,-695.6,922,0.0
260,-727.3,728,0.0
261,-224.1,175,0.0
262,-395.8,503,0.0
263,-343.5,358,0.0
264,-537.6,233,0.0
265,-603.5,216,0.0
266,-338.2,193,0.0
267,-403.5,216,0.0
268,-535.5,1363,0.0
269,-397.1,191,0.0
270,-365.4,342,0.0
271,-376.9,273,0.0
272,-507.6,454,0.0
273,-473.6,339,0.0
274,-450.2,234,0.0
275,-589.4,278,0.0
276,-638.1,2130,0.0
277,-588.1,168,0.0
278,-410.0,352,0.0
279,-683.7,647,0.0
280,-431.1,330,0.0
281,-938.7,181,0.0
282,-331.8,208,0.0
283,-562.4,432,0.0
284,-336.9,191,0.0
285,-273.3,316,0.0
286,-747.9,423,0.0
287,-1013.4,283,0.0
288,-563.2,370,0.0
289,-404.9,214,0.0
290,-447.5,451,0.0
291,-779.0,303,0.0
292,-445.9,533,0.0
293,-393.7,213,0.0
294,-398.9,425,0.0
295,-458.2,240,0.0
296,-369.4,216,0.0
297,-348.0,220,0.0
298,-582.5,396,0.0
299,-434.5,455,0.0
300,-382.0,232,0.0
301,-426.5,360,0.0
302,-579.7,520,0.0
303,-383.8,183,0.0
304,-373.5,181,0.0
305,-355.5,755,0.0
306,-589.0,179,0.0
307,-456.2,338,0.0
308,-349.8,233,0.0
309,-363.9,467,0.0
310,-353.8,173,0.0
311,-405.4,642,0.0
312,-386.6,383,0.0
313,-395.8,218,0.0
314,-522.6,2049,0.0
315,-283.6,362,0.0
316,-443.9,446,0.0
317,-409.9,276,0.0
318,-343.3,674,0.0
319,-301.0,262,0.0
320,-834.1,3667,0.0
321,-341.1,387,0.0
322,-373.1,641,0.0
323,-496.3,1334,0.0
324,-356.8,356,0.0
325,-344.6,631,0.0
326,-659.3,406,0.0
327,-380.4,335,0.0
328,-320.2,446,0.0
329,-427.5,314,0.0
330,-432.1,825,0.0
331,-298.3,547,0.0
332,-403.1,997,0.0
333,-298.2,188,0.0
334,-504.4,383,0.0
335,-302.7,267,0.0
336,-332.0,429,0.0
337,-313.8,294,0.0
338,-670.5,1986,0.0
339,-419.3,220,0.0
340,-443.1,342,0.0
341,-343.8,670,0.0
342,-389.1,395,0.0
343,-225.7,252,0.0
344,-769.2,2313,0.0
345,-407.9,1082,0.0
346,-505.6,255,0.0
347,-326.4,164,0.0
348,-370.2,319,0.0
349,-260.1,289,0.0
350,-287.1,529,0.0
351,-325.9,184,0.0
352,-236.4,178,0.0
353,-471.1,231,0.0
354,-298.0,225,0.0
355,-426.2,1554,0.0
356,-228.3,243,0.0
357,-450.2,460,0.0
358,-230.7,220,0.0
359,-320.1,655,0.0
360,-313.1,264,0.0
361,-274.0,336,0.0
362,-470.5,287,0.0
363,-382.9,261,0.0
364,-319.1,301,0.0
365,-318.3,416,0.0
366,-342.8,238,0.0
367,-678.6,364,0.0
368,-507.2,1454,0.0
369,-229.3,235,0.0
370,-215.1,270,0.0
371,-238.1,194,0.0
372,-362.4,203,0.0
373,-619.7,1435,0.0
374,-338.9,187,0.0
375,-323.6,208,0.0
376,-608.5,212,0.0
377,-254.0,144,0.0
378,-389.0,508,0.0
379,-480.9,194,0.0
380,-253.6,446,0.0
381,-323.9,185,0.0
382,-337.6,464,0.0
383,-312.3,511,0.0
384,-254.6,175,0.0
385,-325.4,211,0.0
386,-246.7,144,0.0
387,-261.9,191,0.0
388,-421.0,275,0.0
389,-303.2,198,0.0
390,-287.6,126,0.0
391,-305.7,315,0.0
392,-651.0,2048,0.0
393,-198.5,229,0.0
394,-278.9,272,0.0
395,-482.0,416,0.0
396,-216.3,128,0.0
397,-258.4,191,0.0
398,-420.4,939,0.0
399,-472.8,638,0.0
400,-286.0,304,0.0
401,-243.1,163,0.0
402,-791.6,197,0.0
403,-360.1,274,0.0
404,-1148.1,7022,0.0
405,-253.4,190,0.0
406,-219.5,213,0.0
407,-545.1,2675,0.0
408,-287.3,181,0.0
409,-401.1,171,0.0
410,-327.7,398,0.0
411,-313.0,589,0.0
412,-309.6,187,0.0
413,-262.3,201,0.0
414,-259.1,135,0.0
415,-528.9,2065,0.0
416,-202.5,191,0.0
417,-317.8,208,0.0
418,-293.3,191,0.0
419,-352.7,204,0.0
420,-307.3,159,0.0
421,-250.3,116,0.0
422,-667.1,139,0.0
423,-216.7,174,0.0
424,-364.1,188,0.0
425,-213.8,178,0.0
426,-350.3,912,0.0
427,-202.5,116,0.0
428,-297.5,152,0.0
429,-308.9,288,0.0
430,-279.6,128,0.0
431,-159.6,122,0.0
432,-172.5,101,0.0
433,-192.2,180,0.0
434,-225.8,156,0.0
435,-463.7,309,0.0
436,-179.0,157,0.0
437,-288.4,299,0.0
438,-277.9,183,0.0
439,-321.8,223,0.0
440,-273.2,187,0.0
441,-224.6,170,0.0
442,-260.3,125,0.0
443,-193.1,147,0.0
444,-488.4,212,0.0
445,-287.6,961,0.0
446,-350.5,242,0.0
447,-181.8,170,0.0
448,-239.0,208,0.0
449,-233.6,164,0.0
450,-320.3,136,0.0
451,-304.5,343,0.0
452,-227.7,280,0.0
453,-506.5,160,0.0
454,-214.1,180,0.0
455,-208.6,151,0.0
456,-486.3,170,0.0
457,-232.1,157,0.0
458,-245.6,207,0.0
459,-357.6,127,0.0
460,-270.2,166,0.0
461,-211.4,163,0.0
462,-191.1,172,0.0
463,-261.1,114,0.0
464,-227.1,148,0.0
465,-281.1,151,0.0
466,-194.3,125,0.0
467,-255.2,155,0.0
468,-196.7,132,0.0
469,-316.2,123,0.0
470,-179.8,116,0.0
471,-173.8,103,0.0
472,-166.1,109,0.0
473,-188.5,113,0.0
474,-211.0,116,0.0
475,-288.4,108,0.0
476,-251.5,122,0.0
477,-262.7,130,0.0
478,-335.5,117,0.0
479,-178.5,133,0.0
480,-230.5,114,0.0
481,-451.5,97,0.0
482,-203.9,92,0.0
483,-319.5,108,0.0
484,-211.7,106,0.0
485,-339.2,436,0.0
486,-162.6,149,0.0
487,-224.7,177,0.0
488,-201.8,287,0.0
489,-221.5,205,0.0
490,-274.6,229,0.0
491,-324.6,150,0.0
492,-269.8,397,0.0
493,-413.1,327,0.0
494,-325.6,331,0.0
495,-443.7,178,0.0
496,-229.3,123,0.0
497,-345.2,285,0.0
498,-440.7,151,0.0
499,-297.9,121,0.0
500,-287.1,151,0.0
501,-188.7,175,0.0
502,-252.1,151,0.0
503,-235.5,125,0.0
504,-256.9,144,0.0
505,-214.7,109,0.0
506,-274.5,154,0.0
507,-179.5,161,0.0
508,-201.7,139,0.0
509,-393.9,1220,0.0
510,-300.6,144,0.0
511,-229.8,174,0.0
512,-231.2,138,0.0
513,-277.6,207,0.0
514,-180.7,142,0.0
515,-202.6,105,0.0
516,-200.7,116,0.0
517,-185.8,173,0.0
