iterations,expected value,max steps,time
4,0.0,3,73.9396073
5,0.0,3,103.683754
6,0.0,3,65.4637615
7,0.0,3,37.949457599999995
8,0.0,3,44.7558581
9,0.0,3,56.69436520000001
10,0.0,3,72.30778280000001
11,0.0,3,84.50204489999999
12,0.0,4,105.3369863
13,0.0,5,204.63751659999997
14,0.0,6,474.20453150000003
15,0.0,7,556.3913584999999
16,0.0,7,633.7091822
17,0.0,8,871.9901679000001
18,0.0,8,1017.7073435999998
19,0.0,9,1347.2934356
20,0.0,9,1499.2496978000001
21,0.0,9,1684.6728871
22,0.0,13,1820.6663945
23,0.0,14,2052.4780304
24,0.0,12,2271.1722169
25,0.0,13,2587.7405402000004
26,0.0,16,2802.9764108
27,0.0,17,3015.047904
28,0.0,15,3148.1463897000003
29,0.0,14,3203.0538073
30,0.0,15,3685.1844612
31,0.0,16,4128.6098964
32,0.0,16,4243.7169137
33,0.0,16,4637.559808700001
34,0.0,18,4860.5258218
35,0.0,18,5226.586809900001
36,0.0,18,6094.3380077
37,0.0,20,6285.779921299999
38,0.0,18,7065.163559999999
39,0.0,21,7729.435074600001
40,0.0,26,7842.730412700001
