iterations,expected value,max steps,time
4,0.0,6,13.549461500000001
5,0.0,8,5.655419
6,0.0,10,9.217935999999998
7,0.0,12,9.3411451
8,0.0,14,6.6589735
9,0.0,16,8.6990463
10,0.0,18,11.664570600000001
11,0.0,20,14.774887799999998
12,0.0,22,19.5607546
13,0.0,24,28.304607100000005
14,0.0,26,32.5061707
15,0.0,28,37.5299194
16,0.0,30,42.8907654
17,0.0,32,57.7457879
18,0.0,34,65.04054440000002
19,0.0,36,78.2145233
20,0.0,38,86.62412950000001
21,0.0,40,103.1643047
22,0.0,42,111.5769123
23,0.0,44,125.4837216
24,0.0,46,147.75551579999998
25,0.0,48,169.28001110000002
26,0.0,50,178.98297329999997
27,0.0,52,201.73864909999998
28,0.0,54,222.56504090000004
29,0.0,56,271.86446820000003
30,0.0,58,279.7335043
31,0.0,60,307.4230422
32,0.0,62,299.8782739
33,0.0,64,320.24278599999997
34,0.0,66,342.36265280000003
35,0.0,68,387.85662040000005
36,0.0,70,432.23827580000005
37,0.0,72,462.1854378
38,0.0,74,522.2623563999999
39,0.0,76,580.3045658
40,0.0,78,659.3027870999999
