iterations,fitness value,time
5,120.2,0.3044458596
10,127.0,0.4848818018
15,134.2,0.7055481594
20,148.0,0.9012566102
25,155.0,1.0710317494
30,163.2,1.2276925194
35,167.0,1.3799734836
40,168.8,1.5093267608
45,171.2,1.6532551058
50,168.2,1.7424251384
55,172.6,1.9038042806
60,172.4,2.0011007984
65,169.2,2.1536278066
70,171.8,2.2573438302
75,170.8,2.3907768244
80,170.2,2.5135023988
85,171.0,2.6478667886
90,170.8,2.7360185108
95,170.2,2.8905233534
100,170.8,2.9921664124
105,169.8,3.1249838222
110,171.4,3.2192868832
115,171.4,3.3553003376
120,169.2,3.5037115994
125,169.6,3.5677950136
130,170.2,3.705910351
135,170.4,3.834667955
140,170.0,3.9004095202
145,170.2,4.056714182
150,171.4,4.1705685008
155,169.4,4.3128630314
160,169.8,4.4176322884
165,171.8,4.5166434502
170,170.2,4.6597163306
175,171.8,4.7682117244
180,169.4,4.8753709426
185,170.8,5.0011086206
190,173.0,5.1065778462
195,170.2,5.2132524036
200,169.6,5.3333073644
