Iterations,Error,Train accuracy,Test Accuracy,time
1,2098.602,67.731,66.535,1.083
100,1728.773,68.211,66.404,108.273
200,1693.481,67.620,67.087,216.554
300,1596.533,67.751,68.849,324.832
400,1579.991,67.219,68.086,433.026
500,1513.887,68.152,67.560,542.661
600,1505.910,68.941,68.375,653.237
700,1510.784,68.467,69.322,762.356
800,1551.696,68.297,69.059,868.957
900,1504.428,68.290,69.558,978.322
1000,1578.821,67.909,69.138,1088.044
1100,1659.462,68.855,68.665,1194.707
1200,1513.544,68.408,68.297,1302.837
1300,1532.363,69.368,68.770,1412.250
1400,1645.557,69.026,68.717,1519.175
1500,1515.055,68.651,69.795,1626.013
1600,1524.817,68.908,69.164,1734.064
1700,1523.544,67.955,69.243,1841.735
1800,1492.626,69.249,69.006,1951.152
1900,1517.354,69.473,69.506,2051.737
2000,1680.077,69.013,70.189,2160.300
2100,1538.831,68.467,69.716,2267.098
2200,1521.124,67.330,69.006,2373.007
2300,1496.833,67.409,69.059,2479.396
2400,1523.398,65.201,63.328,2586.803
2500,1625.810,67.495,68.402,2693.881
2600,1520.859,67.633,69.243,2803.267
2700,1575.150,68.198,70.058,2910.611
2800,1501.687,68.027,70.110,3017.430
2900,1492.926,68.435,70.268,3121.035
3000,1486.955,68.592,70.452,3229.697
3100,1497.039,69.447,71.004,3338.125
3200,1445.681,69.723,71.030,3444.202
3300,1426.365,71.399,72.292,3549.998
3400,1476.293,66.174,64.274,3659.501
3500,1506.265,70.761,72.371,3767.595
3600,1555.503,70.761,72.240,3875.645
3700,1434.436,71.044,72.555,3989.917
3800,1437.138,70.879,72.345,4098.263
3900,1517.584,71.359,72.529,4205.817
4000,1431.260,70.064,71.451,4313.843
4100,1426.440,69.644,70.768,4423.324
4200,1419.685,71.182,72.660,4532.555
4300,1431.712,70.879,72.345,4643.212
4400,1422.797,71.550,72.713,4757.901
4500,1412.286,71.550,72.476,4868.982
4600,1413.705,72.371,74.132,4979.368
4700,1471.361,71.208,72.292,5090.804
4800,1423.340,71.201,72.213,5203.501
4900,1409.560,71.484,72.371,5304.851
5000,1456.877,71.477,72.345,5405.704
5100,1483.895,71.339,72.292,5506.726
5200,1398.226,71.425,72.397,5606.236
5300,1406.376,71.333,72.292,5705.555
5400,1430.822,71.011,71.793,5804.791
5500,1420.992,71.379,72.319,5909.693
5600,1561.535,71.405,72.503,6014.030
5700,1412.929,71.675,72.713,6121.876
5800,1422.127,71.471,72.871,6229.801
5900,1409.680,71.872,73.134,6338.873
6000,1392.400,71.753,72.976,6448.960
