iterations,fitness value,time
2,3264.2657559551308,0.0077563924
4,3669.3258812364975,0.0125534614
6,3780.6702220628176,0.0170565262
8,3973.3108098045764,0.021316549
10,4136.185252804951,0.0258855096
12,4244.223838397898,0.028357486
14,4235.803007719558,0.0375168988
16,4273.805266598838,0.0384773712
18,4303.432517811115,0.042236694
20,4341.877948278694,0.0476058112
22,4328.249464819282,0.0542648822
24,4359.195303410843,0.057185253
26,4331.71128318027,0.0558707268
28,4346.8760636788775,0.0596469578
30,4329.818953493357,0.074170115
32,4329.751205829161,0.0715017144
34,4355.962698643314,0.0742992208
36,4337.497462229187,0.0766672174
38,4365.504757524972,0.0833748014
40,4353.55133395723,0.0885124132
42,4336.150026212357,0.091445979
44,4299.138601841134,0.094328582
46,4320.97562120739,0.103160331
48,4326.429985239067,0.1016758492
50,4327.30272811952,0.1099410806
52,4339.17900073331,0.1061400396
54,4335.129681754454,0.1242161396
56,4270.804492817345,0.122395382
58,4321.653483538421,0.1211902084
60,4322.1964756599145,0.128370207
62,4314.712145364949,0.126876244
64,4323.583485618786,0.1299256418
66,4313.2622968630985,0.1307751018
68,4269.10374226163,0.140013606
70,4353.528921420197,0.1371938178
72,4338.804946689067,0.140884716
74,4302.556417650407,0.1469856444
76,4326.682152411389,0.1530470672
78,4348.124601763291,0.158150861
80,4317.934920843318,0.1657008742
82,4362.951980876502,0.1701827634
84,4328.617435781246,0.1662139004
86,4349.219430490077,0.1631745372
88,4353.297335769861,0.1619342824
90,4296.70658790381,0.1770539028
92,4316.862875955072,0.18936456
94,4351.388431329554,0.1812144494
96,4304.919905300906,0.1790751144
98,4348.271442318717,0.1838485588
100,4321.876398062096,0.1944823398
102,4356.605363445391,0.1995079908
104,4318.168691718134,0.2045688026
106,4353.584786576781,0.2044496522
108,4353.520877753139,0.2061507852
110,4322.76700016291,0.2155351456
112,4338.552268620546,0.2135440376
114,4275.735870468959,0.2152476994
116,4319.737005095144,0.2173506886
118,4323.4352624716,0.2212019024
120,4311.740108962943,0.2125345776
122,4355.255091096286,0.2423091478
124,4336.681859019935,0.2385408972
126,4333.228184952558,0.248089524
128,4337.692896819225,0.24659564
130,4319.3295139794545,0.2523086976
132,4309.8604903640535,0.2586079466
134,4351.038279372644,0.2596141678
136,4325.132970306924,0.2659642218
138,4311.693353674356,0.2675025108
140,4334.9601733459795,0.2568758408
142,4304.103803545506,0.2740012656
144,4338.418739949082,0.2666083292
146,4298.848373066049,0.2829138444
148,4308.167055209621,0.2911070164
150,4347.187734261337,0.2946750502
152,4295.468882868514,0.2832771426
154,4295.062903202057,0.2897973888
156,4314.819284584266,0.2920414146
158,4364.123413927855,0.2950323436
160,4329.733650125921,0.300582004
162,4300.824207171146,0.306581797
164,4310.7330004476,0.3099846162
166,4335.46902326556,0.3298507378
168,4331.532983817846,0.3266460024
170,4336.061718222223,0.3286823846
172,4338.327729011161,0.3369513294
174,4313.982879212723,0.3363285546
176,4336.919031455339,0.3173565354
178,4350.91628263838,0.3304751716
180,4304.032340177184,0.3357456818
182,4304.144992021071,0.3425317256
184,4315.612829145832,0.3409142662
186,4316.544433233177,0.341920329
188,4339.044815369392,0.3570919392
190,4302.957346724892,0.3578490344
192,4315.939617009486,0.365597605
194,4307.642819257159,0.3600036978
196,4286.360310160124,0.347909297
198,4329.966283206256,0.344936067
200,4321.005445452204,0.3717905036
