iterations,fitness value,time
40,0.056050588512453,0.6728687836
80,0.06181384778041872,1.2674295034
120,0.07300763189487106,1.8848437966
160,0.06695960082046767,2.4960132016
200,0.07074575138330885,3.097946077
240,0.07391476820748219,3.7110866786
280,0.07797446417918669,4.6584268512
320,0.07623065381031355,5.0518546932
360,0.07724099003982857,5.7379851252
400,0.08139389612787859,6.4592414666
440,0.08331740769028498,6.7002852342
480,0.07824254617510258,7.3088101784
520,0.08581481740040223,7.9395180412
560,0.0822975385785103,8.5245321092
600,0.08395060137883018,9.227266169
640,0.08825927968057232,9.8336573098
680,0.08375997772949126,10.3614310534
720,0.08364006512983682,10.9388331632
760,0.08603928656919885,11.5392077604
800,0.08774747962439744,12.1390980124
840,0.08999637018989312,12.7632936086
880,0.09049560526514482,13.3579922836
920,0.08727533830536462,14.6805429246
960,0.09080248613928141,16.1729415538
1000,0.0815857738151998,17.1346578414
