iterations,fitness value,time
5,122.2,0.3201953656
10,126.4,0.4956594634
15,136.2,0.7208569352
20,147.4,0.9205246094
25,158.2,1.0929685442
30,163.0,1.2827024074
35,167.0,1.4527736054
40,165.6,1.5609217408
45,168.8,1.7313344296
50,171.4,1.9374221632
55,170.6,1.9920898494
60,168.0,2.1365329596
65,169.6,2.292715547
70,171.8,2.4114514782
75,169.2,2.5591264252
80,170.2,2.7174008614
85,169.4,2.8514217066
90,169.2,2.8964064454
95,171.2,3.051883059
100,172.4,3.2287404584
105,168.4,3.4716544446
110,171.4,3.45893166
115,171.6,3.5980460276
120,171.0,3.7656660294
125,168.0,3.8215458426
130,166.4,3.9476010706
135,170.6,4.2124762668
140,174.6,4.0884174408
145,173.4,4.2690249178
150,172.6,4.3472955302
155,173.2,4.668011349
160,171.0,4.7809443064
165,173.8,4.9812138176
170,171.2,4.940718474
175,173.0,5.0284325476
180,172.0,5.2684758624
185,165.6,5.4099807448
190,170.0,5.387489363
195,170.6,5.5122817386
200,171.4,5.7766936074
680,168.8,18.0520293896
1160,170.4,30.9530393234
1640,171.4,44.2256781818
2120,169.6,55.2812666766
2600,170.6,68.3146518682
3080,168.8,79.5730525662
3560,172.8,90.7662718956
4040,169.2,106.5260407686
4520,172.6,118.5863800314
5000,172.0,158.6455433552
