iterations,fitness value,time
40,107.65,3.7983155E-4
80,115.7,1.794762E-4
120,119.75,1.11012E-4
160,127.8,2.01501E-4
200,133.5,2.036738E-4
240,138.75,2.2413805E-4
280,138.4,2.613923E-4
320,141.3,1.3347125E-4
360,144.95,1.677824E-4
400,145.4,2.599305E-4
440,150.15,2.301231E-4
480,150.45,2.897775E-4
520,151.1,2.4266635E-4
560,151.85,3.2215265E-4
600,152.9,2.720587E-4
640,153.9,4.3269055E-4
680,154.4,6.0768295E-4
720,157.15,3.2594495E-4
760,156.15,4.167697E-4
800,159.5,5.5798435E-4
840,159.35,4.3367835E-4
880,157.3,4.207202E-4
920,159.1,9.266355E-4
960,160.9,9.3175155E-4
1000,158.9,6.7249285E-4
1040,159.75,4.6350545E-4
1080,158.15,7.503397E-4
1120,159.3,7.7548515E-4
1160,161.2,7.4289265E-4
1200,161.75,7.0674445E-4
1240,160.0,7.2596405E-4
1280,161.4,0.00107567245
1320,160.6,0.00135938565
1360,161.65,0.00127284745
1400,161.4,9.748923E-4
1440,161.65,8.163345E-4
1480,162.65,6.8825565E-4
1520,163.6,7.1282865E-4
1560,161.8,8.207001E-4
1600,161.05,8.809073E-4
1640,161.8,0.0010978353
1680,161.7,8.139443E-4
1720,162.55,8.5967275E-4
1760,161.35,9.4757385E-4
1800,163.45,0.0013556127
1840,160.95,0.0019128464
1880,161.35,0.00170036265
1920,162.35,0.00160695045
1960,161.9,0.0012967091
2000,162.9,0.0014049954
2040,161.75,0.0013700324
2080,163.45,0.0012554844
2120,162.85,0.0011504377
2160,162.2,0.00108388975
2200,162.4,0.00123806225
2240,164.0,0.0010849366
2280,162.0,0.0012350596
2320,162.45,0.00125212635
2360,163.25,0.00128402765
2400,162.65,0.00190915255
2440,160.85,0.0023619718
2480,163.15,0.0022788704
2520,163.4,0.0020140215
2560,161.65,0.0011584969
2600,163.05,0.0011145266
2640,163.0,0.0011652722
2680,162.65,0.00118694105
2720,161.85,0.00124009675
2760,162.35,0.0011165612
2800,161.6,0.00110014635
2840,162.0,0.00110561795
2880,164.15,0.001205055
2920,161.55,0.00124746475
2960,164.05,0.00135750905
3000,161.0,0.00147310375
3040,163.7,0.00135033865
3080,162.55,0.00133362745
3120,162.35,0.00130976555
3160,162.05,0.0012056276
3200,162.9,0.00120752405
3240,162.55,0.0015264963
3280,161.95,0.00153003215
3320,162.25,0.0016343087
3360,162.05,0.0015011533
3400,161.1,0.001324798
3440,161.95,0.0013141511
3480,159.0,0.0012977361
3520,161.85,0.0013324819
3560,162.55,0.00164540965
3600,162.9,0.00153487185
3640,162.65,0.0015540518
3680,164.05,0.0015355827
3720,161.75,0.0015104765
3760,162.5,0.0015001656
3800,163.2,0.0015045901
3840,162.9,0.001689222
3880,162.9,0.00166778985
3920,161.4,0.00193973035
3960,163.7,0.00167347875
4000,163.2,0.0016230098
4040,161.45,0.0015531037
4080,161.45,0.0016037109
4120,161.95,0.0018341897
4160,162.6,0.0018614689
4200,164.55,0.0018735576
4240,163.35,0.0018237601
4280,163.55,0.0016583676
4320,162.55,0.00165499
4360,163.1,0.00216359155
4400,161.75,0.00237761595
4440,160.95,0.0022279668
4480,163.25,0.0021658434
4520,161.9,0.0020773896
4560,162.65,0.0023978037
4600,161.8,0.002220836
4640,162.6,0.00231693455
4680,163.3,0.00219006075
4720,162.1,0.0021216166
4760,161.35,0.00232578385
4800,163.2,0.0022883913
4840,162.35,0.0020234832
4880,162.4,0.00207343885
4920,162.5,0.0018726886
4960,163.9,0.0029918767
5000,163.9,0.00216552755
