iterations,fitness value,time
40,100.7,5.459725E-5
80,103.55,6.226165E-5
120,109.5,9.93974E-5
160,117.8,1.2015795E-4
200,122.5,1.057775E-4
240,128.65,1.2481945E-4
280,134.85,2.119307E-4
320,138.25,1.9950585E-4
360,139.8,2.8600435E-4
400,146.0,3.565821E-4
440,146.25,2.52207E-4
480,148.75,2.6923395E-4
520,149.5,4.0752525E-4
560,151.6,3.0775255E-4
600,155.35,3.81471E-4
640,155.8,3.229623E-4
680,157.65,3.6614265E-4
720,158.15,3.816885E-4
760,159.35,4.273968E-4
800,160.55,4.1323405E-4
840,161.7,4.3010305E-4
880,161.8,4.137475E-4
920,163.7,5.033472E-4
960,164.1,4.691547E-4
1000,163.2,4.9141645E-4
1040,166.55,7.316729E-4
1080,167.45,6.349027E-4
1120,167.05,6.8823595E-4
1160,167.5,7.2918405E-4
1200,168.15,7.6570735E-4
1240,169.8,7.807395E-4
1280,168.75,7.892729E-4
1320,169.2,7.6041365E-4
1360,170.05,8.105665E-4
1400,169.9,7.459348E-4
1440,170.85,7.866853E-4
1480,171.75,7.578657E-4
1520,174.05,8.164334E-4
1560,173.55,8.26211E-4
1600,172.5,0.0011054206
1640,173.35,0.0010321762
1680,175.1,0.00108422565
1720,174.05,0.0010861416
1760,175.05,0.00106336615
1800,173.65,0.0011461316
1840,176.3,0.00102285275
1880,176.3,0.0010132329
1920,175.1,9.800478E-4
1960,175.15,0.0011568575
2000,174.15,0.0010491244
2040,177.0,0.0012315438
2080,176.85,0.00121698565
2120,177.15,0.00147814115
2160,175.35,0.00143863475
2200,176.55,0.0013329363
2240,176.75,0.0013752076
2280,177.75,0.0013792966
2320,177.65,0.0012412029
2360,177.6,0.0014009067
2400,179.2,0.00154952835
2440,180.3,0.001477509
2480,179.7,0.0015319286
2520,179.4,0.0015080273
2560,179.8,0.0014172816
2600,179.35,0.00161635275
2640,179.25,0.00168053065
2680,180.0,0.00192691055
2720,180.35,0.00162089625
2760,180.05,0.00172667365
2800,181.4,0.00163438765
2840,180.55,0.00159926645
2880,181.1,0.001584353
2920,181.15,0.00183735015
2960,181.5,0.00179786395
3000,180.25,0.00203120675
3040,181.0,0.00170243685
3080,181.85,0.00173175045
3120,182.3,0.00176084655
3160,181.25,0.0019200759
3200,182.75,0.0020182487
3240,181.6,0.0020033746
3280,182.4,0.00191851535
3320,182.45,0.0019067427
3360,182.8,0.00184922175
3400,181.35,0.0019606884
3440,182.25,0.00229153215
3480,182.0,0.00231029755
3520,182.45,0.00216687065
3560,183.25,0.0019379328
3600,184.05,0.0021041547
3640,182.35,0.00227090985
3680,183.4,0.00216319655
3720,181.95,0.00220023335
3760,182.05,0.00208084585
3800,183.2,0.0023244211
3840,184.3,0.00224074705
3880,183.75,0.0023345742
3920,183.45,0.0024337343
3960,183.2,0.0022380211
4000,185.1,0.00246782825
4040,184.1,0.0024800159
4080,184.5,0.0025352452
4120,184.0,0.00239156185
4160,183.65,0.00243077135
4200,183.7,0.00261325025
4240,184.65,0.0027309981
4280,184.15,0.00256153675
4320,185.05,0.0025005392
4360,184.25,0.0025812305
4400,183.7,0.00266940815
4440,184.45,0.00266336365
4480,184.9,0.0025929046
4520,184.15,0.00252580335
4560,185.35,0.00283991645
4600,183.65,0.0026922228
4640,185.7,0.00281315115
4680,185.85,0.0025976848
4720,185.8,0.00263454405
4760,185.7,0.0034045576
4800,185.05,0.0028091807
4840,185.5,0.0028771509
4880,185.3,0.00276090435
4920,186.05,0.0030121435
4960,185.4,0.00300329425
5000,184.45,0.0029499806
