iterations,fitness value,time
40,105.4,3.01036E-5
80,114.45,4.902715E-5
120,119.7,8.306175E-5
160,127.3,1.3090345E-4
200,129.95,1.117628E-4
240,136.15,1.2316045E-4
280,139.2,1.5442935E-4
320,143.25,1.7835025E-4
360,145.55,2.194958E-4
400,146.25,2.93155E-4
440,149.95,2.298663E-4
480,151.75,3.1207865E-4
520,151.85,2.871502E-4
560,155.8,3.253131E-4
600,155.7,3.2217225E-4
640,160.4,3.3200955E-4
680,158.1,3.9486365E-4
720,160.55,3.6979705E-4
760,160.5,4.3292795E-4
800,162.35,5.7096215E-4
840,162.15,4.6072035E-4
880,164.1,5.1723365E-4
920,162.85,5.3400415E-4
960,166.35,5.5340165E-4
1000,165.8,6.006704E-4
1040,167.3,6.8221125E-4
1080,167.75,7.3437915E-4
1120,167.25,7.3279885E-4
1160,169.1,8.5187025E-4
1200,167.55,8.1297655E-4
1240,173.1,9.269911E-4
1280,171.15,9.5590965E-4
1320,170.9,0.0010962748
1360,171.0,8.419937E-4
1400,171.1,8.9998875E-4
1440,172.25,8.6935155E-4
1480,173.5,9.396725E-4
1520,173.25,9.2932205E-4
1560,172.7,9.419442E-4
1600,172.9,0.00104983545
1640,173.05,0.0011540326
1680,175.1,0.00108651685
1720,175.5,0.00126869915
1760,174.5,0.0012272179
1800,174.25,0.0013282151
1840,175.3,0.0012973016
1880,174.6,0.0012427832
1920,175.95,0.00128564745
1960,176.3,0.00131217575
2000,176.65,0.0015708223
2040,177.75,0.00158771115
2080,178.25,0.00155059505
2120,177.4,0.00176378995
2160,178.75,0.00188683165
2200,177.15,0.001718575
2240,178.1,0.00163620485
2280,176.55,0.00172519235
2320,177.95,0.0017790195
2360,179.6,0.00183987865
2400,178.6,0.0018082343
2440,178.5,0.0017677208
2480,179.75,0.00176995265
2520,178.75,0.00181265885
2560,179.95,0.0019457943
2600,179.8,0.00193728075
2640,180.55,0.00201412025
2680,180.15,0.0020832954
2720,179.65,0.00197518695
2760,179.9,0.0023288851
2800,179.7,0.002225893
2840,180.65,0.0021827719
2880,180.55,0.0021248165
2920,179.5,0.00221686555
2960,182.35,0.00225125545
3000,181.45,0.00252232675
3040,183.25,0.00262101345
3080,180.65,0.00238735445
3120,182.3,0.002354979
3160,181.3,0.002496569
3200,182.9,0.00248890475
3240,182.95,0.00250522065
3280,180.5,0.0026859217
3320,181.65,0.0025902378
3360,182.05,0.0025615169
3400,182.25,0.0027262378
3440,182.2,0.0027142476
3480,182.25,0.0026934476
3520,182.45,0.00273441525
3560,182.65,0.00276062775
3600,182.9,0.00277242025
3640,184.95,0.0028627115
3680,182.0,0.00290302745
3720,183.45,0.0029523311
3760,182.75,0.00307924455
3800,183.9,0.00315511595
3840,183.85,0.0031657628
3880,184.3,0.0036506412
3920,184.1,0.0038235198
3960,183.25,0.00357858205
4000,183.9,0.00361767325
4040,183.6,0.0033323206
4080,183.6,0.00320864655
4120,184.3,0.0034483896
4160,184.15,0.0033629575
4200,184.0,0.0034012193
4240,184.25,0.0034531896
4280,184.7,0.0035750066
4320,183.55,0.00357508585
4360,183.7,0.0039038358
4400,184.55,0.00419094655
4440,184.3,0.0042552624
4480,185.55,0.0045600915
4520,184.25,0.0043728522
4560,185.5,0.00411847255
4600,185.75,0.0041730896
4640,185.6,0.0040951637
4680,185.7,0.00382741105
4720,184.65,0.00419614145
4760,185.2,0.0044016719
4800,185.5,0.00496660955
4840,186.3,0.0047347087
4880,186.75,0.00406193915
4920,185.75,0.0048456219
4960,185.35,0.0042005266
5000,185.0,0.00439481775
