iterations,fitness value,time
5,3604.3234150170088,0.0145351672
10,3880.151735474742,0.0236730096
15,3989.011960472326,0.0346295554
20,4097.088775796905,0.04294409
25,4090.6757685624007,0.051942476
30,4093.995356280056,0.0640227336
35,4068.905716856051,0.0683571068
40,4077.2215398205435,0.0761654896
45,4095.5733633123664,0.085531361
50,4079.7729445832183,0.093797778
55,4068.1502163338737,0.1008782208
60,4079.4761345017455,0.1095107008
65,4051.1022281811092,0.1165163194
70,4072.417340710056,0.129118848
75,4076.0881244565508,0.1372551314
80,4087.080145436031,0.1456792564
85,4055.7288831873493,0.150164543
90,4088.95490449943,0.1574576868
95,4090.939077572964,0.1648095372
100,4076.520177584345,0.1749487016
105,4065.537142634428,0.181876414
110,4081.784970303128,0.1891543088
115,4082.8578843661467,0.1973647846
120,4088.23224251778,0.205772949
125,4103.137315754263,0.2125658664
130,4089.720086717087,0.222358167
135,4071.58050687571,0.2326367882
140,4061.202611765584,0.237415447
145,4075.1722636682607,0.2457941398
150,4092.747768049291,0.254464625
155,4078.6470360273806,0.2632803346
160,4068.154712198496,0.2721099504
165,4081.7322653390765,0.2786174756
170,4101.418095791061,0.2851511544
175,4066.0630524519233,0.29392238
180,4099.141268159742,0.3003791004
185,4083.2892088519147,0.3099187992
190,4075.543141786934,0.3162355892
195,4063.286581594646,0.3256172634
200,4049.1370937895117,0.3314124142
680,4098.982615124941,1.0991899668
1160,4101.559868074403,1.870795582
1640,4076.825536284042,2.696165142
2120,4083.121427248066,3.405325345
2600,4109.483544137599,4.171369448
3080,4080.335071924396,4.9674246046
3560,4063.4143717906727,5.7656258122
4040,4059.820947142445,6.510349811
4520,4062.0067021930968,7.2893678786
5000,4090.703263587905,8.044566211
