Iterations,Error,Train accuracy,Test Accuracy,time
1,2615.481,34.089,35.068,0.010
200,1602.480,70.327,69.453,2.392
400,1508.055,70.360,69.690,4.538
600,1394.964,70.892,71.688,6.921
800,1343.614,71.944,72.739,9.010
1000,1296.255,72.273,71.504,11.266
1200,1274.937,73.935,74.317,13.387
1400,1256.311,74.540,74.763,15.498
1600,1251.306,74.665,74.869,17.761
1800,1241.991,74.888,75.105,20.126
2000,1286.576,75.138,75.289,22.282
2200,1228.512,75.375,75.736,24.424
2400,1218.043,75.204,75.894,26.469
2600,1222.027,75.539,76.446,28.557
2800,1210.987,75.723,76.525,30.860
3000,1208.963,75.953,76.814,32.978
3200,1207.768,75.973,76.788,35.053
3400,1208.941,76.032,76.840,37.318
3600,1203.460,76.144,76.788,39.467
3800,1201.636,76.111,76.945,41.567
4000,1200.608,76.163,76.814,43.656
4200,1198.085,76.275,76.840,45.721
4400,1195.804,76.249,76.604,48.021
4600,1204.455,76.380,76.972,50.437
4800,1197.029,76.420,76.972,52.643
5000,1195.964,76.446,77.077,54.929
5200,1190.300,76.643,76.998,57.178
5400,1178.602,77.576,77.655,59.323
5600,1185.166,78.161,77.865,61.346
5800,1164.300,78.470,77.918,63.388
6000,1158.180,78.378,78.155,65.570
