Iterations,Error,Train accuracy,Test Accuracy,time
1,2703.501,30.080,30.941,0.009
200,2681.751,44.729,44.716,2.066
400,4258.063,33.314,34.911,4.270
600,4291.202,33.688,35.121,6.417
800,3514.762,34.713,36.435,8.651
1000,1624.727,66.207,64.432,10.888
1200,1452.949,69.565,68.770,13.373
1400,1399.626,71.024,70.005,15.636
1600,1327.769,73.508,74.211,18.086
1800,1289.157,73.620,74.553,20.722
2000,1271.210,73.975,75.026,23.087
2200,1261.888,74.251,75.131,25.518
2400,1257.785,74.402,75.342,27.862
2600,1251.598,74.343,75.342,30.357
2800,1248.108,74.376,75.315,33.056
3000,1243.965,74.593,75.578,35.538
3200,1234.875,74.711,75.710,37.939
3400,1232.852,74.967,75.920,40.300
3600,1234.422,75.329,76.288,42.527
3800,1225.382,75.670,76.630,44.936
4000,1232.190,75.697,76.551,47.186
4200,1238.967,75.743,76.577,49.414
4400,1219.126,75.539,76.420,51.708
4600,1270.040,75.611,76.525,54.052
4800,1223.895,75.716,76.472,56.439
5000,1215.378,75.756,76.472,58.870
5200,1213.186,75.769,76.525,61.353
5400,1212.261,75.789,76.577,63.764
5600,1214.115,75.881,76.577,66.213
5800,1228.949,75.775,76.630,68.582
6000,1216.218,75.822,76.735,70.948
