iterations,fitness value,time
40,0.057605797898501995,0.812426489
80,0.06640776340313267,1.575321481
120,0.0726520139537917,2.3528349976
160,0.07034074813054886,3.0712642032
200,0.07530258930329246,4.2001262614
240,0.07955857392931558,4.7489430928
280,0.07691172615410585,5.416111382
320,0.08089152794106731,6.2170096718
360,0.08135337812197317,7.1710850038
400,0.07815856121485244,7.7728404976
440,0.08809905863638152,8.5253663202
480,0.08788958605028044,9.3327688962
520,0.08514006344890657,9.4372414622
560,0.08664168662712435,9.645245716
600,0.08148306028522037,10.2938771062
640,0.09205556133842266,10.7342901186
680,0.08636983432675996,11.0725421474
720,0.0909864381140927,11.5453075826
760,0.0897213515314134,11.8049214342
800,0.09189902636615144,12.7851304534
840,0.08992546641415185,13.4502674168
880,0.08927414793567609,14.109117694
920,0.09063126841448091,14.8525522924
960,0.09360004729503801,15.4289138902
1000,0.09477170804433457,16.0830287278
1400,0.09440333658863642,22.204197129
1800,0.10052990794522658,27.8151812502
2200,0.10499204598925369,34.0224698902
2600,0.1021678315615782,40.19443351
3000,0.10363737571583405,46.3700485214
3400,0.10768552422278166,52.5603891194
3800,0.11439932638723442,58.6568053618
4200,0.11028994402999681,64.7487346588
4600,0.1133222826409723,71.1148730234
5000,0.1130437328383855,77.0502067354
